Taxon,Area,NISP,Layer
Primate,3-N5E39,15,1
Artiodactyla,3-N5E39,11,1
Perissodactyla,3-N5E39,0,1
Testudinata,3-N5E39,0,1
Cyprinidae,3-N5E39,4,1
Primate,3-N5E39,17,2
Artiodactyla,3-N5E39,6,2
Perissodactyla,3-N5E39,0,2
Testudinata,3-N5E39,5,2
Cyprinidae,3-N5E39,1,2
Primate,3-N5E39,167,3(4)
Artiodactyla,3-N5E39,45,3(4)
Perissodactyla,3-N5E39,12,3(4)
Testudinata,3-N5E39,22,3(4)
Cyprinidae,3-N5E39,42,3(4)
Primate,3-N5E39,145,5
Artiodactyla,3-N5E39,47,5
Perissodactyla,3-N5E39,2,5
Testudinata,3-N5E39,19,5
Cyprinidae,3-N5E39,14,5
Primate,3-N5E39,10,6
Artiodactyla,3-N5E39,22,6
Perissodactyla,3-N5E39,0,6
Testudinata,3-N5E39,7,6
Cyprinidae,3-N5E39,0,6
Primate,3-N5E39,1,7
Artiodactyla,3-N5E39,0,7
Perissodactyla,3-N5E39,0,7
Testudinata,3-N5E39,0,7
Cyprinidae,3-N5E39,0,7
